IP:139910193890145		 Register Value: 1636472640
IP:139910193890145		 Register Value: 4
IP:139910193890145		 Register Value: -1714207872
IP:139910193891671		 Register Value: -511008872
IP:139910193891671		 Register Value: 2147482112
IP:139910193891671		 Register Value: -1714207856
IP:139910193890145		 Register Value: 1636472640
IP:139910193890145		 Register Value: 5
IP:139910193890145		 Register Value: -1714207840
IP:139910193890145		 Register Value: 1636472640
IP:139910193890145		 Register Value: 6
IP:139910193890145		 Register Value: -1714207824
IP:139910193890145		 Register Value: 1636472640
IP:139910193890145		 Register Value: 10
IP:139910193890145		 Register Value: -1714207808
IP:139910193890145		 Register Value: 1636472640
IP:139910193890145		 Register Value: 11
IP:139910193890145		 Register Value: -1714207792
IP:139910193890145		 Register Value: 1636472640
IP:139910193890145		 Register Value: 37
IP:139910193890145		 Register Value: -1714207776
IP:139910193890145		 Register Value: 1636472640
IP:139910193890145		 Register Value: 36
IP:139910193890145		 Register Value: -1714207760
IP:139910193890145		 Register Value: 1636472640
IP:139910193890145		 Register Value: 49
IP:139910193890145		 Register Value: -1714207744
IP:139910193890268		 Register Value: 4
IP:139910193890287		 Register Value: -1714208480
IP:139910193890301		 Register Value: 1636472576
IP:139910193890301		 Register Value: 1636465632
IP:139910193890394		 Register Value: 1636465648
IP:139910193890394		 Register Value: 5
IP:139910193890404		 Register Value: 1636465648
IP:139910193890404		 Register Value: -1714208080
IP:139910193890408		 Register Value: 1636472576
IP:139910193890408		 Register Value: 1636465648
IP:139910193890451		 Register Value: 1636465664
IP:139910193890451		 Register Value: 6
IP:139910193890461		 Register Value: 1636465664
IP:139910193890461		 Register Value: -1714208344
IP:139910193890465		 Register Value: 1636472576
IP:139910193890465		 Register Value: 1636465664
IP:139910193890613		 Register Value: 1636465680
IP:139910193890613		 Register Value: 1879048176
IP:139910193890623		 Register Value: 1636465680
IP:139910193890623		 Register Value: -1714207986
IP:139910193890627		 Register Value: 1636472576
IP:139910193890627		 Register Value: 1636465680
IP:139910193890664		 Register Value: 1636465696
IP:139910193890664		 Register Value: 1879047925
IP:139910193890671		 Register Value: 1636465696
IP:139910193890671		 Register Value: -1714208416
IP:139910193890675		 Register Value: 1636472576
IP:139910193890675		 Register Value: 1636465696
IP:139910193928338		 Register Value: 1636472576
IP:139910193928359		 Register Value: 1636472576
IP:139910193928382		 Register Value: 1636472576
IP:139910193928382		 Register Value: -1714208400
IP:139910193928389		 Register Value: 1636472576
IP:139910193928389		 Register Value: -1714208392
IP:139910193928400		 Register Value: 1636472576
IP:139910193928406		 Register Value: 1636472576
IP:139910193928406		 Register Value: -1714208388
IP:139910193890931		 Register Value: 1636473272
IP:139910193890931		 Register Value: 1636472616
IP:139910193986652		 Register Value: 1636473752
IP:139910193986771		 Register Value: 1636473752
IP:139910193986778		 Register Value: 1636473768
IP:139910194003383		 Register Value: 1636473752
IP:139910194003383		 Register Value: 1970170220
IP:139910194003386		 Register Value: 1636473752
IP:139910194003386		 Register Value: 1932423027
IP:139910193891015		 Register Value: 1636473720
IP:139910193891015		 Register Value: 1636473752
IP:139910193928564		 Register Value: 1636472576
IP:139910193928564		 Register Value: 1636471144
IP:139910193928569		 Register Value: 1636471144
IP:139910193928569		 Register Value: 1636472576
IP:139910193928602		 Register Value: 1636472576
IP:139910193928602		 Register Value: 1
IP:139910193928616		 Register Value: 2
IP:139910193891068		 Register Value: 1636472576
IP:139910193891075		 Register Value: 1636472576
IP:139910193891075		 Register Value: 1636469208
IP:139910193891085		 Register Value: 1636472576
IP:139910193891092		 Register Value: -1714920048
IP:139910193891092		 Register Value: 1636472600
IP:139910193986003		 Register Value: -1714920816
IP:139910193986003		 Register Value: 4
IP:139910193942553		 Register Value: -1714920400
IP:139910193942553		 Register Value: -1714918887
IP:139910193942557		 Register Value: -1714920400
IP:139910193942557		 Register Value: 6
IP:139910193942561		 Register Value: -1714920400
IP:139910193942561		 Register Value: 1636466216
IP:139910193942565		 Register Value: -1714920400
IP:139910193942565		 Register Value: 1636466208
IP:139910193942624		 Register Value: -1714920400
IP:139910193942624		 Register Value: 1636472576
IP:139910193942651		 Register Value: -1714920400
IP:139910193942651		 Register Value: 4
IP:139910193942664		 Register Value: -1714920400
IP:139910193942664		 Register Value: 1
IP:139910193942668		 Register Value: -1714920400
IP:139910193942668		 Register Value: 0
IP:139910193942740		 Register Value: -1714920400
IP:139910193942740		 Register Value: -1714208592
IP:139910193992137		 Register Value: 1636471072
IP:139910193944364		 Register Value: -1714920400
IP:139910193944364		 Register Value: -1714920608
IP:139910193943313		 Register Value: -1714920608
IP:139910193943313		 Register Value: -1714918887
IP:139910193943320		 Register Value: -1714920608
IP:139910193943320		 Register Value: 6
IP:139910193943349		 Register Value: -1714920592
IP:139910193943349		 Register Value: 1634343837
IP:139910193943403		 Register Value: -1714920400
IP:139910193943403		 Register Value: 6
IP:139910193943417		 Register Value: -1714920400
IP:139910193943417		 Register Value: 3
IP:139910193944246		 Register Value: -1714920400
IP:139910193943546		 Register Value: -1714920400
IP:139910193943546		 Register Value: -1714920592
IP:139910193943553		 Register Value: -1714920400
IP:139910193943553		 Register Value: 32
IP:139910193943557		 Register Value: -1714920400
IP:139910193943570		 Register Value: -1714920400
IP:139910193943583		 Register Value: 1636466216
IP:139910193943583		 Register Value: 4
IP:139910193943590		 Register Value: -1714920400
IP:139910193943590		 Register Value: 64
IP:139910193986652		 Register Value: 1636473768
IP:139910193986771		 Register Value: 1636473768
IP:139910193986778		 Register Value: 1636473843
IP:139910193943602		 Register Value: -1714920400
IP:139910193943602		 Register Value: 1636473768
IP:139910193943636		 Register Value: 1636473768
IP:139910193943636		 Register Value: 1636473832
IP:139910193943639		 Register Value: 1636473768
IP:139910193943639		 Register Value: 1636473832
IP:139910193944377		 Register Value: -1714920400
IP:139910193944381		 Register Value: -1714920400
IP:139910193944381		 Register Value: 32
IP:139910194002734		 Register Value: 1636473832
IP:139910194002750		 Register Value: 1636473833
IP:139910194002734		 Register Value: 1636473835
IP:139910194002750		 Register Value: 1636473836
IP:139910194002768		 Register Value: 1636473838
IP:139910194002734		 Register Value: 1636473842
IP:139910193944469		 Register Value: -1714920400
IP:139910193944481		 Register Value: -1714920400
IP:139910193944485		 Register Value: -1714920400
IP:139910193944485		 Register Value: -1714920576
IP:139910193944203		 Register Value: 1636473816
IP:139910193944203		 Register Value: 1636473836
IP:139910193944203		 Register Value: 1636473832
IP:139910193944203		 Register Value: 1636473836
IP:139910193944225		 Register Value: 1636466208
IP:139910193944225		 Register Value: 11
IP:139910193914666		 Register Value: 1636473768
IP:139910193986652		 Register Value: 1636473848
IP:139910193986771		 Register Value: 1636473848
IP:139910193986778		 Register Value: 1636473888
IP:139910193914681		 Register Value: 1636473848
IP:139910193914714		 Register Value: -1714920288
IP:139910193914714		 Register Value: 4
IP:139910193914726		 Register Value: -1714920288
IP:139910193914726		 Register Value: 16
IP:139910193986652		 Register Value: 1636473888
IP:139910193986761		 Register Value: 1311346688
IP:139910193986771		 Register Value: 1311338496
IP:139910193986778		 Register Value: 1311343776
IP:139910193914758		 Register Value: 1636473848
IP:139910193914758		 Register Value: 1311338496
IP:139910193914794		 Register Value: 1311338496
IP:139910193914801		 Register Value: 1311338496
IP:139910193914801		 Register Value: 1634343354
IP:139910193914821		 Register Value: 1311338496
IP:139910193914821		 Register Value: 1634339680
IP:139910193914855		 Register Value: -1714920288
IP:139910193914855		 Register Value: 80
IP:139910193914873		 Register Value: -1714920288
IP:139910193914873		 Register Value: 1311338496
IP:139910193914888		 Register Value: -1714920288
IP:139910193914888		 Register Value: 1311338584
IP:139910194002698		 Register Value: 1311338536
IP:139910194002698		 Register Value: 0
IP:139910194002701		 Register Value: 1311338536
IP:139910194002701		 Register Value: 16
IP:139910194002701		 Register Value: 0
IP:139910193914929		 Register Value: 1311338536
IP:139910193914929		 Register Value: 1311338576
IP:139910193914933		 Register Value: 1636473856
IP:139910193914933		 Register Value: 1311338576
IP:139910193914951		 Register Value: 1311338584
IP:139910193914951		 Register Value: 1634339703
IP:139910193914958		 Register Value: 1311338584
IP:139910193914958		 Register Value: 1634343354
IP:139910193914965		 Register Value: 1311338584
IP:139910193914965		 Register Value: 26
IP:139910193914999		 Register Value: -1714920288
IP:139910193914999		 Register Value: 1311338576
IP:139910193914888		 Register Value: -1714920288
IP:139910193914888		 Register Value: 1311338664
IP:139910194002698		 Register Value: 1311338616
IP:139910194002698		 Register Value: 0
IP:139910194002701		 Register Value: 1311338616
IP:139910194002701		 Register Value: 16
IP:139910194002701		 Register Value: 0
IP:139910193914929		 Register Value: 1311338616
IP:139910193914929		 Register Value: 1311338656
IP:139910193914933		 Register Value: 1636473864
IP:139910193914933		 Register Value: 1311338656
IP:139910193914951		 Register Value: 1311338664
IP:139910193914951		 Register Value: 1634339730
IP:139910193914958		 Register Value: 1311338664
IP:139910193914958		 Register Value: 1634343354
IP:139910193914965		 Register Value: 1311338664
IP:139910193914965		 Register Value: 5
IP:139910193914999		 Register Value: -1714920288
IP:139910193914999		 Register Value: 1311338656
IP:139910193914888		 Register Value: -1714920288
IP:139910193914888		 Register Value: 1311338744
IP:139910194002698		 Register Value: 1311338696
IP:139910194002698		 Register Value: 0
IP:139910194002701		 Register Value: 1311338696
IP:139910194002701		 Register Value: 16
IP:139910194002701		 Register Value: 0
IP:139910193914929		 Register Value: 1311338696
IP:139910193914929		 Register Value: 1311338736
IP:139910193914933		 Register Value: 1636473872
IP:139910193914933		 Register Value: 1311338736
IP:139910193914951		 Register Value: 1311338744
IP:139910193914951		 Register Value: 1634339736
IP:139910193914958		 Register Value: 1311338744
IP:139910193914958		 Register Value: 1634343354
IP:139910193914965		 Register Value: 1311338744
IP:139910193914965		 Register Value: 9
IP:139910193914999		 Register Value: -1714920288
IP:139910193914999		 Register Value: 1311338736
IP:139910193914888		 Register Value: -1714920288
IP:139910193914888		 Register Value: 1311338824
IP:139910194002698		 Register Value: 1311338776
IP:139910194002698		 Register Value: 0
IP:139910194002701		 Register Value: 1311338776
IP:139910194002701		 Register Value: 16
IP:139910194002701		 Register Value: 0
IP:139910193950422		 Register Value: 1636471104
IP:139910193950422		 Register Value: 1634213888
IP:139910193950441		 Register Value: 1636471104
IP:139910193950441		 Register Value: 1634283152
IP:139910193950445		 Register Value: 1636471104
IP:139910193950445		 Register Value: 1636471144
IP:139910193894180		 Register Value: 4194872
IP:139910193894220		 Register Value: 1636471144
IP:139910193894220		 Register Value: 1636469208
IP:139910193894240		 Register Value: 1636471144
IP:139910193894261		 Register Value: -1
IP:139910193894328		 Register Value: 1634213952
IP:139910193894384		 Register Value: 2251712
IP:139910193894395		 Register Value: 1088
IP:139910193894456		 Register Value: -1714920048
IP:139910193894456		 Register Value: 0
IP:139910193894475		 Register Value: 6295272
IP:139910193894475		 Register Value: 1636471104
IP:139910193992137		 Register Value: 1636471072
IP:139910193937879		 Register Value: -1714920288
IP:139910193937890		 Register Value: -1714920288
IP:139910193937890		 Register Value: 1636471144
IP:139910193937897		 Register Value: -1714920288
IP:139910193937929		 Register Value: -1714920624
IP:139910193937929		 Register Value: 1636471144
IP:139910193937933		 Register Value: -1714920624
IP:139910193937933		 Register Value: -1714920600
IP:139910193937944		 Register Value: -1714920288
IP:139910193937958		 Register Value: 1636471144
IP:139910193938087		 Register Value: -1714920288
IP:139910193938087		 Register Value: -1714920624
IP:139910193938094		 Register Value: -1714920288
IP:139910193938094		 Register Value: -1714920624
IP:139910193938147		 Register Value: -1714920288
IP:139910193938147		 Register Value: -1714920624
IP:139910193938154		 Register Value: -1714920288
IP:139910193938164		 Register Value: -1714920288
IP:139910193938164		 Register Value: -1714920384
IP:139910193938175		 Register Value: -1714920288
IP:139910193938175		 Register Value: -1714920401
IP:139910193938186		 Register Value: -1714920288
IP:139910193938186		 Register Value: -1714920400
IP:139910193938197		 Register Value: -1714920288
IP:139910193938197		 Register Value: -1714920392
IP:139910193938257		 Register Value: -1714920288
IP:139910193938257		 Register Value: 1636471144
IP:139910193938265		 Register Value: -1714920288
