IP:139951292012042Memory Add: 140721226307680		 Immediate Value: 0
IP:139951292012052Memory Add: 140721226307600		 Immediate Value: 0
IP:139951292012069Memory Add: 140721226307648		 Immediate Value: 0
IP:139951292012079Memory Add: 140721226307672		 Immediate Value: 0
IP:139951292012089Memory Add: 140721226307656		 Immediate Value: 0
IP:139951292012099Memory Add: 140721226307720		 Immediate Value: 0
IP:139951292012109		 Register Value: %d917822800
IP:139951292012109		 Register Value: %d917822744
IP:139951292013065		 Register Value: %d917822800
IP:139951292013065		 Register Value: %d4196284
IP:139951292013126Memory Add: 140721226307696		 Immediate Value: 1
IP:139951292013419		 Register Value: %d917822824
IP:139951292013436		 Register Value: %d917822800
IP:139951292013436		 Register Value: %d0
IP:139951292013449		 Register Value: %d917822800
IP:139951292013449		 Register Value: %d917823056
IP:139951292013456Memory Add: 140721226307680		 Immediate Value: 10
IP:139951292015077Memory Add: 140721226307704		 Immediate Value: 1
IP:139951292014864		 Register Value: %d917822800
IP:139951292014864		 Register Value: %d0
IP:139951292014874		 Register Value: %d917822800
IP:139951292014881		 Register Value: %d917822800
IP:139951292000115		 Register Value: %d917822743
IP:139951292000115		 Register Value: %d917822742
IP:139951292000115		 Register Value: %d917822741
IP:139951292000115		 Register Value: %d917822740
IP:139951292000115		 Register Value: %d917822739
IP:139951292000115		 Register Value: %d917822738
IP:139951292000115		 Register Value: %d917822737
IP:139951292000115		 Register Value: %d917822736
IP:139951292000115		 Register Value: %d917822735
IP:139951292000115		 Register Value: %d917822734
IP:139951292000115		 Register Value: %d917822733
IP:139951292000115		 Register Value: %d917822732
IP:139951292000115		 Register Value: %d917822731
IP:139951292000115		 Register Value: %d917822730
IP:139951292000115		 Register Value: %d917822729
IP:139951292014900		 Register Value: %d917822800
IP:139951292014900		 Register Value: %d917822729
IP:139951292015045		 Register Value: %d917822800
IP:139951292016822		 Register Value: %d917822800
IP:139951292013589		 Register Value: %d917822800
IP:139951292013589		 Register Value: %d15
IP:139951292013615		 Register Value: %d917822800
IP:139951292013615		 Register Value: %d0
IP:139951292013622		 Register Value: %d917822800
IP:139951292013651		 Register Value: %d917822800
IP:139951292015819Memory Add: 140721226307712		 Immediate Value: 0
IP:139951292014046		 Register Value: %d917822800
IP:139951292014046		 Register Value: %d0
IP:139951292014063		 Register Value: %d917822800
IP:139951292278798		 Register Value: %d24257106
IP:139951292278814		 Register Value: %d24257107
IP:139951292278832		 Register Value: %d24257109
IP:139951292278850		 Register Value: %d24257113
IP:139951292278850		 Register Value: %d808662578
IP:139951292191298		 Register Value: %d-213694944
IP:139951292191298		 Register Value: %d24257121
IP:139951292012746		 Register Value: %d917822800
IP:139951292012760		 Register Value: %d917822800
IP:139951292012760		 Register Value: %d4196285
IP:139951292012767		 Register Value: %d917822800
IP:139951292012767		 Register Value: %d4196285
IP:139951292012786		 Register Value: %d917822800
IP:139951292012786		 Register Value: %d4196285
IP:139951292012815		 Register Value: %d917822800
IP:139951292012815		 Register Value: %d4196285
IP:139951292012832		 Register Value: %d917822800
IP:139951292011328Memory Add: 139951295649672		 Immediate Value: 0
IP:4195858		 Register Value: %d917823088
IP:139951292045321		 Register Value: %d917822816
IP:139951292045321		 Register Value: %d4
IP:139951292045326		 Register Value: %d917822816
IP:139951292045326		 Register Value: %d-213690496
IP:139951292045331		 Register Value: %d917822816
